recipe_id,ingredient_id,unit,amount
1,1,Cup,0.25
1,2,Cup,0.25
1,3,Slice,2
2,47,count,2
2,24,cup,0.75
3,22,Count,2
3,4,Pinch,1
4,8,Teaspoon,2
4,4,Pinch,1
4,21,Tablespoon,2
4,30,Count,10
5,9,Cup,0.5
6,16,pound,2
6,31,cup,1
6,32,cup,0.5
7,13,cup,1
7,22,count,1
7,20,cup,1
7,6,Tablespoon,3
8,32,cup,1
8,22,count,1
8,21,cups,0.5
8,46,teaspoon,1.5
8,13,cup,1.5
9,1,cup,1
9,6,cup,0.5
9,22,count,1
10,20,cup,5
10,24,cup,2
10,55,cup,2
11,58,cup,2.5
11,23,count,3
11,13,cup,1
12,22,count,2
12,19,teaspoon,1
13,22,count,2
13,7,teaspoon,1
14,32,cup,0.5
14,4,teaspoon,1
14,5,teaspoon,1
15,20,cups,2
15,53,count,1
15,54,cups,0.25
16,56,cups,2
16,53,count,1
16,57,count,1
17,40,Cup,4
17,29,Cup,0.5
17,4,Teaspoon,0.25
17,5,Teaspoon,0.25
17,10,Cup,1
18,36,pound,1.5
18,35,Teaspoon,1
18,37,Tablespoon,2
19,33,Cup,1
19,43,Teaspoon,1
19,44,Teaspoon,0.25
19,8,Tablespoon,1
19,45,Tablespoon,1
20,52,Cup,1
20,50,count,6
20,51,count,3
21,22,count,8
21,34,Teaspoon,0.25
21,4,Teaspoon,0.25
21,5,Teaspoon,0.25
21,10,Cup,0.5
21,11,Teaspoon,1
22,16,count,1
22,48,Cup,2
22,49,Cup,2
23,38,pounds,4
23,39,count ,1
23,23,cup,1
24,22,count ,8
24,11,Tablespoon,3
24,42,Teaspoon,1
24,4,Teaspoon,0.25
24,5,Teaspoon,0.25
25,33,Cup,1
25,43,Teaspoon,1
25,46,Teaspoon,0.25
25,8,Tablespoon,1
25,45,Tablespoon,1